Gasuto,18,5,SUNDAY,18,24,Second-WEDNESDAY
Huu,17,1,WEDNESDAY
Porta-Montare,12,23,SATURDAY,15.5,23,HOLIDAY,15.30,22.30
LaTortuga,11.5,14,18,22,SUNDAY
Gessen,11.5,14,18,21,SATURDAY,18,21,SUNDAY
Haruru,9,12,15,18,21,1,SATURDAY,SUNDAY
7&11,0,24
MameUsagi,10,15,18,21,SUNDAY
Matsukiyo,9,22,WEDNESDAY,12,21,SUNDAY
